Habitat,Site,Quad,Date,Colony ID,Total area,Discolored area,Pigmented area,Percent discoloration,Genus_species,Months,DHW
RT,RT13,30m,909,Pocillopora_damicornis_1,76.77,0,76.77,0,Pocillopora_damicornis,0,1.440847969
RT,RT13,35m,909,Pavona_chiriquiensis_1,10.61,0.03,10.58,0.282752121,Pavona_chiriquiensis,0,1.440847969
RT,RT13,35m,909,Pocillopora_damicornis_1,61.55,0,61.55,0,Pocillopora_damicornis,0,1.440847969
RT,RT13,35m,909,Pocillopora_damicornis_3,25.49,0,25.49,0,Pocillopora_damicornis,0,1.440847969
RT,RT13,40m,909,Astreopora_myriophthalma_1,29.11,0,29.11,0,Astreopora_myriophthalma,0,1.440847969
RT,RT13,40m,909,Astreopora_myriophthalma_2,11.88,0,11.88,0,Astreopora_myriophthalma,0,1.440847969
RT,RT13,45m,909,Astrea_curta_1,57.72,0.02,57.7,0.034650035,Astrea_curta,0,1.440847969
RT,RT13,45m,909,Pocillopora_damicornis_1,21.39,0,21.39,0,Pocillopora_damicornis,0,1.440847969
RT,RT4,0m,909,Pocillopora_damicornis_1,26.59,2.88,23.71,10.83113953,Pocillopora_damicornis,0,1.440847969
RT,RT4,0m,909,Pocillopora_damicornis_2,10.07,0.63,9.44,6.256206554,Pocillopora_damicornis,0,1.440847969
RT,RT4,15m,909,Astreopora_myriophthalma_1,491.22,22.23,468.99,4.525467204,Astreopora_myriophthalma,0,1.440847969
RT,RT4,15m,909,Astreopora_myriophthalma_2,62.97,18.14,44.83,28.80736859,Astreopora_myriophthalma,0,1.440847969
RT,RT4,20m,909,Pocillopora_damicornis_1,70.15,6.43,63.72,9.166072701,Pocillopora_damicornis,0,1.440847969
RT,RT4,20m,909,Pocillopora_damicornis_2,91.2,0.04,91.16,0.043859649,Pocillopora_damicornis,0,1.440847969
RT,RT4,20m,909,Pocillopora_damicornis_3,70.46,0.35,70.11,0.496735737,Pocillopora_damicornis,0,1.440847969
RT,RT4,25m,909,Pocillopora_damicornis_1,135.84,8.95,126.89,6.588633687,Pocillopora_damicornis,0,1.440847969
RT,RT4,25m,909,Pocillopora_damicornis_2,1.8,0.01,1.79,0.555555556,Pocillopora_damicornis,0,1.440847969
RT,RT4,25m,909,Pocillopora_damicornis_3,46.25,8.78,37.47,18.98378378,Pocillopora_damicornis,0,1.440847969
RT,RT4,25m,909,Pocillopora_damicornis_5,14.42,6.21,8.21,43.06518724,Pocillopora_damicornis,0,1.440847969
RT,RT4,30m,909,Pocillopora_damicornis_1,65.66,14.13,51.53,21.51995126,Pocillopora_damicornis,0,1.440847969
RT,RT4,30m,909,Pocillopora_damicornis_2,3.56,1.02,2.54,28.65168539,Pocillopora_damicornis,0,1.440847969
RT,RT4,30m,909,Pocillopora_damicornis_7,77.56,0.04,77.52,0.051572976,Pocillopora_damicornis,0,1.440847969
RT,RT4,30m,909,Pocillopora_damicornis_8,87.66,0,87.66,0,Pocillopora_damicornis,0,1.440847969
RT,RT4,30m,909,Pocillopora_damicornis_9,31.9,1.45,30.45,4.545454545,Pocillopora_damicornis,0,1.440847969
RT,RT4,35m,909,Astreopora_myriophthalma_2,42.01,20.28,21.73,48.27422042,Astreopora_myriophthalma,0,1.440847969
RT,RT4,35m,909,Pocillopora_damicornis_1,12.94,0,12.94,0,Pocillopora_damicornis,0,1.440847969
RT,RT4,40m,909,Pocillopora_damicornis_1,56.04,3.05,52.99,5.442541042,Pocillopora_damicornis,0,1.440847969
RT,RT4,45m,909,Pocillopora_damicornis_1,38.26,0.04,38.22,0.104547831,Pocillopora_damicornis,0,1.440847969
RT,RT4,45m,909,Pocillopora_damicornis_2,32.81,0,32.81,0,Pocillopora_damicornis,0,1.440847969
RT,RT4,5m,909,Goniastrea_stelligera_3,7.55,2.51,5.04,33.24503311,Goniastrea_stelligera,0,1.440847969
RT,RT4,5m,909,Goniastrea_stelligera_4,2.33,0.36,1.97,15.45064378,Goniastrea_stelligera,0,1.440847969
RT,RT4,5m,909,Pocillopora_damicornis_1,20.13,4.84,15.29,24.04371585,Pocillopora_damicornis,0,1.440847969
RT,RT4,5m,909,Pocillopora_damicornis_2,1.24,0,1.24,0,Pocillopora_damicornis,0,1.440847969
RT,RT4,5m,909,Pocillopora_damicornis_3,1.66,0,1.66,0,Pocillopora_damicornis,0,1.440847969
FR,FR3,0m,1004,Montipora_aequituberculata_1,93.76,4.75,89.01,5.06612628,Montipora_aequituberculata,7,0
FR,FR3,0m,1004,Montipora_aequituberculata_2,190.59,3.8,186.79,1.993808699,Montipora_aequituberculata,7,0
FR,FR3,0m,1004,Pavona_chiriquiensis_1,27.85,3.08,24.77,11.05924596,Pavona_chiriquiensis,7,0
FR,FR3,0m,1004,Pavona_chiriquiensis_2,10.45,0.21,10.24,2.009569378,Pavona_chiriquiensis,7,0
FR,FR3,0m,1004,Pocillopora_meandrina_2,45.38,0.3,45.08,0.661084178,Pocillopora_meandrina,7,0
FR,FR3,0m,1004,Pocillopora_meandrina_3,7.7,0.94,6.76,12.20779221,Pocillopora_meandrina,7,0
FR,FR3,10m,1004,Hydnophora_microconos_1,821.37,179.58,641.79,21.863472,Hydnophora_microconos,7,0
FR,FR3,10m,1004,Pavona_chiriquiensis_1,17.19,2.04,15.15,11.86736475,Pavona_chiriquiensis,7,0
FR,FR3,10m,1004,Pavona_clavus_1,121.87,6.84,115.03,5.61253795,Pavona_clavus,7,0
FR,FR3,15m,1004,Pavona_chiriquiensis_1,305.25,58.1,247.15,19.03357903,Pavona_chiriquiensis,7,0
FR,FR3,15m,1004,Pocillopora_meandrina_1,116.94,1.51,115.43,1.291260475,Pocillopora_meandrina,7,0
FR,FR3,20m,1004,Astrea_curta_1,14.94,1.85,13.09,12.38286479,Astrea_curta,7,0
FR,FR3,20m,1004,Hydnophora_microconos_1,288.46,105.9,182.56,36.7121958,Hydnophora_microconos,7,0
FR,FR3,20m,1004,Pavona_chiriquiensis_1,72.47,13.32,59.15,18.38001932,Pavona_chiriquiensis,7,0
FR,FR3,20m,1004,Pavona_duerdeni_1,533.27,71.73,461.54,13.4509723,Pavona_duerdeni,7,0
FR,FR3,20m,1004,Pocillopora_meandrina_2,293.22,0.68,292.54,0.231907783,Pocillopora_meandrina,7,0
FR,FR3,20m,1004,Pocillopora_meandrina_4,6.31,0,6.31,0,Pocillopora_meandrina,7,0
FR,FR3,25m,1004,Astrea_curta_1,22.37,1.57,20.8,7.018328118,Astrea_curta,7,0
FR,FR3,25m,1004,Favites_pentagona_1,229.23,0.83,228.4,0.362081752,Favites_pentagona,7,0
FR,FR3,25m,1004,Goniastrea_stelligera_2,470.92,31.32,439.6,6.650811178,Goniastrea_stelligera,7,0
FR,FR3,25m,1004,Pavona_chiriquiensis_1,72.5,2.94,69.56,4.055172414,Pavona_chiriquiensis,7,0
FR,FR3,25m,1004,Pocillopora_meandrina_2,248.89,0.61,248.28,0.245088192,Pocillopora_meandrina,7,0
FR,FR3,25m,1004,Pocillopora_meandrina_3,288.57,6,282.57,2.079218214,Pocillopora_meandrina,7,0
FR,FR3,30m,1004,Astrea_curta_1,16.63,0.06,16.57,0.360793746,Astrea_curta,7,0
FR,FR3,30m,1004,Goniastrea_stelligera_2,225.4,7.92,217.48,3.513753327,Goniastrea_stelligera,7,0
FR,FR3,30m,1004,Pavona_duerdeni_1,167.02,68.33,98.69,40.91126811,Pavona_duerdeni,7,0
FR,FR3,30m,1004,Pavona_duerdeni_2,247.77,56.55,191.22,22.82358639,Pavona_duerdeni,7,0
FR,FR3,35m,1004,Goniastrea_stelligera_1,312.47,78.31,234.16,25.06160591,Goniastrea_stelligera,7,0
FR,FR3,35m,1004,Goniastrea_stelligera_2,36.87,6.07,30.8,16.46324925,Goniastrea_stelligera,7,0
FR,FR3,35m,1004,Pavona_chiriquiensis_1,23.9,1.28,22.62,5.355648536,Pavona_chiriquiensis,7,0
FR,FR3,35m,1004,Pavona_duerdeni_1,44.47,5.44,39.03,12.23296604,Pavona_duerdeni,7,0
FR,FR3,35m,1004,Pocillopora_meandrina_1,177.97,4.24,173.73,2.382424004,Pocillopora_meandrina,7,0
FR,FR3,35m,1004,Pocillopora_meandrina_2,436.79,7.32,429.47,1.675862543,Pocillopora_meandrina,7,0
FR,FR3,35m,1004,Porites_arnaudi_1,35.78,4.17,31.61,11.65455562,Porites_arnaudi,7,0
FR,FR3,35m,1004,Porites_arnaudi_2,111.8,7.31,104.49,6.538461538,Porites_arnaudi,7,0
FR,FR3,40m,1004,Astrea_curta_1,62.79,0.21,62.58,0.334448161,Astrea_curta,7,0
FR,FR3,40m,1004,Pavona_chiriquiensis_1,209.88,100.89,108.99,48.0703259,Pavona_chiriquiensis,7,0
FR,FR3,40m,1004,Pavona_chiriquiensis_2,76.44,1.22,75.22,1.596023025,Pavona_chiriquiensis,7,0
FR,FR3,40m,1004,Pavona_chiriquiensis_3,94.38,9.71,84.67,10.28819665,Pavona_chiriquiensis,7,0
FR,FR3,40m,1004,Pavona_chiriquiensis_4,78.43,0.42,78.01,0.535509371,Pavona_chiriquiensis,7,0
FR,FR3,40m,1004,Pavona_chiriquiensis_5,57.34,1.58,55.76,2.755493547,Pavona_chiriquiensis,7,0
